id,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,E1,E2,E3,E4,E5,age,gender,edu,income,marital_status,religion, employment,employment_condition
244,1,2,2,1,2,2,3,3,3,3,3,3,2,2,3,3,3,3,2,2,3,3,2,2,2,2,2,2,1,2,4,3,4,1,1,1
245,1,1,1,2,1,1,4,4,5,3,3,5,3,3,1,3,3,5,5,4,5,5,3,4,4,5,5,4,3,2,4,4,1,3,1,3
246,2,2,3,2,2,3,3,3,2,3,3,1,3,3,3,3,3,4,4,3,3,2,1,3,4,4,3,4,3,2,5,3,1,2,1,3
247,3,2,2,2,2,3,2,3,3,4,3,2,3,3,3,3,3,3,4,3,3,2,3,3,3,2,2,3,2,2,4,1,4,1,1,3
248,3,4,4,4,5,3,3,3,2,2,2,1,2,1,1,1,3,1,1,2,2,1,1,2,2,2,2,2,4,2,3,1,2,4,1,1
249,4,3,3,5,4,3,3,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,2,3,1,4,4,1,3
250,1,1,1,2,2,2,4,5,4,4,4,4,4,4,5,4,3,4,5,3,5,5,2,4,3,4,4,4,3,2,4,4,2,1,1,3
251,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,1,2,3,4,1,1,1,1
252,3,3,4,4,4,4,3,3,2,2,3,3,2,2,2,3,3,3,3,4,4,3,4,2,2,2,2,2,3,1,4,2,1,1,1,2
253,4,4,4,4,3,4,3,3,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,3,3,1,4,2,1,1,1,2
254,4,4,4,4,3,3,3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,,3,1,3,1,1,1,1,2
255,3,3,3,2,2,4,3,3,3,2,2,3,2,2,3,3,3,2,4,4,2,2,3,2,2,3,2,3,2,1,3,2,1,3,1,2
256,3,3,3,2,2,3,3,3,4,3,3,4,2,2,3,3,3,3,2,2,2,2,2,3,3,3,2,2,3,1,3,2,1,3,1,2
257,3,3,3,2,3,3,3,3,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,3,3,1,3,2,1,2,1,2
258,4,4,4,3,3,4,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,2,1,3,4,1,3
